"Latest: Time (s)","Latest: Illumination (lux)"
3.488,159.202575684
3.49,174.041900635
3.492,172.725982666
3.494,164.642486572
3.496,150.179138184
3.498,147.171325684
3.5,140.415496826
3.502,153.374938965
3.504,174.041900635
3.506,170.094146729
3.508,178.541870117
3.51,164.078521729
3.512,154.690856934
3.514,146.983337402
3.516,152.62298584
3.518,80.8702087402
3.52,174.79385376
3.522,177.425689697
3.524,113.932647705
3.526,189.821166992
3.528,114.860839844
3.53,134.96383667
3.532,132.895965576
3.534,123.132324219
3.536,142.48336792
3.538,148.487243652
3.54,159.014587402
3.542,130.640106201
3.544,130.640106201
3.546,106.789093018
3.548,96.8374633789
3.55,113.744659424
3.552,104.15725708
3.554,133.083953857
3.556,115.80078125
3.558,127.268066406
3.56,58.5113525391
3.562,117.868652344
3.564,68.4629821777
3.566,79.930267334
3.568,80.1182556152
3.57,91.0098266602
3.572,105.097198486
3.574,106.601104736
3.576,98.3413696289
3.578,80.1182556152
3.58,72.2227478027
3.582,69.2149353027
3.584,69.402923584
3.586,70.5308532715
3.588,82.7383422852
3.59,88.9419555664
3.592,89.1299438477
3.594,92.5137329102
3.596,56.4434814453
3.598,100.585479736
3.6,46.8678283691
3.602,43.6720275879
3.604,66.7710876465
3.606,38.7843322754
3.608,81.9981384277
3.61,63.5870361328
3.612,64.7149658203
3.614,45.1759338379
3.616,41.0401916504
3.618,41.0401916504
3.62,40.2882385254
3.622,55.1275634766
3.624,54.9395751953
3.626,59.8272705078
3.628,51.5557861328
3.63,48.1837463379
3.632,39.3482971191
3.634,38.7843322754
3.636,69.7789001465
3.638,85.1821899414
3.64,28.0807495117
3.642,94.7695922852
3.644,38.0323791504
3.646,71.658782959
3.648,46.4918518066
3.65,43.2960510254
3.652,70.154876709
3.654,70.906829834
3.656,74.4786071777
3.658,69.7789001465
3.66,49.3116760254
3.662,45.3639221191
3.664,55.3155517578
3.666,72.410736084
3.668,82.9263305664
3.67,87.2500610352
3.672,73.162689209
3.674,106.601104736
3.676,42.7320861816
3.678,92.8897094727
3.68,91.1978149414
3.682,66.395111084
3.684,109.232940674
3.686,93.0776977539
3.688,91.1978149414
3.69,91.9497680664
3.692,86.3101196289
3.694,81.0581970215
3.696,78.0503845215
3.698,89.1299438477
3.7,83.1143188477
3.702,109.608917236
3.704,103.969268799
3.706,116.740722656
3.708,106.977081299
3.71,87.0620727539
3.712,96.0855102539
3.714,101.337432861
3.716,171.598052979
