"Latest: Time (s)","Latest: Illumination (lux)"
15.151,104.909210205
15.152,103.593292236
15.153,104.345245361
15.154,103.405303955
15.155,104.909210205
15.156,104.909210205
15.157,104.721221924
15.158,105.097198486
15.159,105.097198486
15.16,105.66116333
15.161,103.405303955
15.162,105.849151611
15.163,106.037139893
15.164,106.601104736
15.165,105.097198486
15.166,104.909210205
15.167,104.15725708
15.168,104.909210205
15.169,103.781280518
15.17,104.909210205
15.171,103.781280518
15.172,104.15725708
15.173,104.345245361
15.174,104.909210205
15.175,104.909210205
15.176,104.15725708
15.177,104.909210205
15.178,104.909210205
15.179,106.037139893
15.18,104.721221924
15.181,106.225128174
15.182,104.721221924
15.183,104.345245361
15.184,105.473175049
15.185,104.533233643
15.186,105.849151611
15.187,104.909210205
15.188,103.029327393
15.189,103.029327393
15.19,103.405303955
15.191,104.345245361
15.192,103.969268799
15.193,104.345245361
15.194,104.533233643
15.195,104.15725708
15.196,103.781280518
15.197,106.413116455
15.198,105.849151611
15.199,104.15725708
15.2,104.909210205
15.201,105.473175049
15.202,104.15725708
15.203,104.345245361
15.204,105.285186768
15.205,103.217315674
15.206,104.909210205
15.207,104.909210205
15.208,105.66116333
15.209,105.097198486
15.21,104.533233643
15.211,104.345245361
15.212,104.909210205
15.213,106.601104736
15.214,104.909210205
15.215,106.601104736
15.216,103.593292236
15.217,105.097198486
15.218,106.601104736
15.219,104.909210205
15.22,103.969268799
15.221,103.781280518
15.222,104.533233643
15.223,103.969268799
15.224,103.781280518
15.225,103.969268799
15.226,104.909210205
15.227,104.15725708
15.228,103.969268799
15.229,104.345245361
15.23,104.15725708
15.231,105.849151611
15.232,104.15725708
15.233,105.473175049
15.234,106.225128174
15.235,105.285186768
15.236,104.909210205
15.237,105.849151611
15.238,103.405303955
15.239,103.969268799
15.24,104.721221924
15.241,104.533233643
15.242,105.473175049
15.243,106.037139893
15.244,106.601104736
15.245,103.029327393
15.246,106.601104736
15.247,106.225128174
15.248,105.849151611
15.249,104.15725708
15.25,105.473175049
15.251,105.473175049
15.252,105.66116333
15.253,104.345245361
15.254,104.533233643
15.255,102.841339111
15.256,104.345245361
15.257,103.781280518
15.258,105.473175049
15.259,104.15725708
15.26,104.721221924
15.261,104.15725708
15.262,105.473175049
15.263,105.097198486
15.264,104.721221924
15.265,104.15725708
15.266,106.037139893
15.267,103.969268799
15.268,103.969268799
15.269,105.66116333
15.27,104.345245361
15.271,104.909210205
15.272,103.217315674
15.273,103.029327393
15.274,104.15725708
15.275,104.909210205
15.276,103.405303955
15.277,104.909210205
15.278,106.413116455
15.279,105.097198486
15.28,105.849151611
15.281,106.789093018
15.282,106.225128174
15.283,104.909210205
15.284,105.285186768
15.285,105.097198486
15.286,104.909210205
15.287,105.285186768
15.288,102.841339111
15.289,102.65335083
15.29,104.533233643
15.291,103.969268799
15.292,104.15725708
15.293,105.473175049
15.294,104.533233643
15.295,104.909210205
15.296,105.849151611
15.297,107.16506958
15.298,105.849151611
15.299,104.15725708
15.3,105.66116333
15.301,104.909210205
15.302,103.969268799
15.303,103.593292236
15.304,104.909210205
15.305,103.781280518
15.306,104.909210205
15.307,104.345245361
15.308,105.097198486
15.309,105.097198486
15.31,105.473175049
15.311,104.345245361
15.312,103.593292236
15.313,104.909210205
15.314,107.353057861
15.315,106.037139893
15.316,105.097198486
15.317,104.345245361
15.318,103.593292236
15.319,103.969268799
15.32,103.593292236
15.321,105.097198486
15.322,102.841339111
15.323,103.593292236
15.324,104.909210205
15.325,104.15725708
15.326,103.969268799
15.327,104.909210205
15.328,104.15725708
15.329,106.977081299
15.33,104.345245361
15.331,105.66116333
15.332,106.037139893
15.333,104.15725708
15.334,104.345245361
15.335,105.66116333
15.336,105.66116333
15.337,105.473175049
15.338,102.65335083
15.339,105.473175049
15.34,104.345245361
15.341,104.909210205
15.342,106.601104736
15.343,103.781280518
15.344,104.15725708
15.345,106.037139893
15.346,103.969268799
15.347,106.601104736
15.348,104.533233643
15.349,105.66116333
15.35,105.097198486
15.351,103.969268799
15.352,104.345245361
15.353,106.037139893
15.354,102.841339111
15.355,103.781280518
15.356,103.029327393
15.357,104.345245361
15.358,103.781280518
15.359,106.413116455
15.36,104.15725708
15.361,104.15725708
15.362,103.217315674
15.363,106.225128174
15.364,104.533233643
15.365,105.097198486
15.366,104.533233643
15.367,105.473175049
15.368,105.097198486
15.369,104.909210205
15.37,104.909210205
15.371,105.097198486
15.372,103.593292236
15.373,103.593292236
15.374,104.15725708
15.375,103.969268799
15.376,105.097198486
15.377,105.849151611
15.378,105.097198486
15.379,104.909210205
15.38,105.66116333
15.381,105.473175049
15.382,106.225128174
15.383,105.097198486
15.384,104.909210205
15.385,105.473175049
15.386,105.473175049
15.387,104.15725708
15.388,103.781280518
15.389,104.533233643
15.39,103.405303955
15.391,105.473175049
15.392,103.593292236
15.393,105.66116333
15.394,103.593292236
15.395,105.849151611
15.396,104.721221924
15.397,105.66116333
15.398,105.66116333
15.399,105.66116333
15.4,104.533233643
15.401,105.097198486
15.402,105.285186768
15.403,104.345245361
15.404,104.15725708
15.405,102.465362549
15.406,105.097198486
15.407,103.593292236
15.408,105.285186768
15.409,103.969268799
15.41,104.15725708
15.411,103.781280518
15.412,104.721221924
15.413,106.413116455
15.414,105.097198486
15.415,106.037139893
15.416,105.097198486
15.417,103.969268799
15.418,103.593292236
15.419,104.15725708
15.42,104.721221924
15.421,105.097198486
15.422,103.593292236
15.423,102.465362549
15.424,104.721221924
15.425,103.405303955
15.426,104.345245361
15.427,104.909210205
15.428,104.909210205
15.429,104.533233643
15.43,106.601104736
15.431,104.909210205
15.432,106.789093018
15.433,103.405303955
15.434,106.037139893
15.435,104.909210205
15.436,103.969268799
15.437,103.217315674
15.438,104.533233643
15.439,103.405303955
15.44,103.029327393
15.441,103.969268799
15.442,104.15725708
15.443,105.66116333
15.444,106.037139893
15.445,104.533233643
15.446,106.037139893
15.447,105.285186768
15.448,105.285186768
15.449,104.909210205
15.45,106.413116455
15.451,106.037139893
15.452,103.593292236
15.453,104.909210205
15.454,103.405303955
15.455,103.969268799
15.456,103.405303955
15.457,102.841339111
15.458,103.593292236
15.459,106.413116455
15.46,105.473175049
15.461,105.097198486
15.462,104.15725708
15.463,106.037139893
15.464,104.909210205
15.465,105.097198486
15.466,104.721221924
15.467,105.66116333
15.468,105.849151611
15.469,103.969268799
15.47,105.66116333
15.471,104.721221924
15.472,104.345245361
15.473,102.841339111
15.474,105.66116333
15.475,104.909210205
15.476,105.097198486
15.477,104.345245361
15.478,104.533233643
15.479,104.345245361
15.48,105.66116333
15.481,104.909210205
15.482,104.345245361
15.483,104.345245361
15.484,104.345245361
15.485,105.097198486
15.486,106.601104736
15.487,105.097198486
15.488,102.841339111
15.489,103.969268799
15.49,104.345245361
15.491,103.029327393
15.492,105.849151611
15.493,104.345245361
15.494,105.097198486
15.495,105.473175049
15.496,104.909210205
15.497,106.037139893
15.498,104.909210205
15.499,105.285186768
15.5,104.345245361
15.501,103.405303955
15.502,104.909210205
15.503,105.66116333
15.504,103.405303955
15.505,103.217315674
15.506,103.969268799
15.507,103.029327393
15.508,104.345245361
15.509,105.285186768
15.51,104.909210205
15.511,105.285186768
15.512,105.097198486
15.513,106.037139893
15.514,107.16506958
15.515,105.849151611
15.516,104.345245361
15.517,104.15725708
